Mixture	B	CD4Tconv	CD8T	DC	Endothelial	Epithelial	NK	Plasma	Malignant	Mono/Macro	P-value	Correlation	RMSE	Absolute score (sig.score)
value...20	0.141901191169399	0.0434742318378055	0.00685953867731921	0.143072437833427	0.326082164132459	0.101236742908885	0.0256283877920212	0.000703980026195642	0.843659075258531	0.187324188312506	0	0.841317622831719	0.908030632672237	1.81994193794855
value...21	0.191577451337353	0.227697004282002	0	0.296652411990394	0.298234648489084	0.232263657120545	0.0580672688854455	0	0.478590717883693	0.0389200675140187	0	0.880421583397539	0.916871165988635	1.82200322750254
value...22	0.159611496784383	0.156818948381634	0.108998944625425	0.483003122613956	0.379894687381071	0	0.160813661665813	0.00236524231372635	0.0391662368796189	0.27739860581546	0	0.912431857513713	0.891257855171223	1.76807094646109
value...23	0.0958140196605297	0.0594594238966802	0	0.0604230279850715	0.203983904925435	0.0301931346379213	0.0635216733020629	0.000730821134815922	1.28025966210293	0	0	0.806551015090513	0.894547346941477	1.79438566764544
value...24	0.123871400212415	0.0561997693904686	0.0296814208119249	0.0981852785152029	0.152185954679376	0.0350721829650688	0.0132139989447115	0	1.22955198846474	0.0706458548630877	0	0.819445633403844	0.896140987566923	1.80860784884699
value...25	0.0621619111793704	0.0367725142769178	0.000416356527234292	0.0655568054217857	0.123940294082335	0.013009437782285	0.0159765214466641	0.00206222767649583	1.46006147858534	0.0112196941523732	0	0.802309881554446	0.884811729093547	1.7911772411308
value...26	0.340184651422009	0.178411071102769	0.138287911332222	0.211789365718942	0.294492879682179	0.507790752831143	0.0511220380196521	0.00485691350131471	0.0470366393208123	0.0553209427749981	0	0.895323843273253	0.912226667669014	1.82929316570604
value...27	0.0885305616916821	0.118576444961607	0.0447905104759831	0.307776413364499	0.097267096583033	0.0581856211228435	0.155397854275541	0.000398260068047539	0.856495925874834	0.0773035024287582	0	0.847472994318771	0.907808325469727	1.80472219084683
value...28	0.12212884952438	0.167781569452626	0	0.203347755385842	0.175789634211365	0.087339308684514	0.0601888025328523	0.00149948460121242	0.957230029942372	0.0185278778159813	0	0.832508077582032	0.907668555830687	1.79383331215114
value...29	0.0995498173338434	0.0243538971433247	0	0.116254409332733	0.324867220141969	0.184341552282715	0.0199791811436764	0.00044561895073513	0.987285725380985	0.0906125661204299	0	0.840067652221351	0.90177580994173	1.84768998783041
value...30	0.0477743647411213	0.038716870666315	0	0.0707373868157059	0.0946068000863664	0.00943817470495158	0.0295821055753159	0.00127201761099716	1.50052656155984	0	0	0.794833332054535	0.88416896772368	1.79265428176062
value...31	0.117119871235015	0.145958205763841	0.0376098355561923	0.338578771751037	0.252735528043236	0.139230834641354	0.252597785628234	0.00227796149727558	0.444635447844945	0.0959026785275224	0	0.889365373054776	0.910961599975075	1.82664692048865
value...32	0.271155267793562	0.125257340345689	0.0754118197769	0.24270341968998	0.331260160053307	0.198562462950493	0.146975155919588	0.00835470469089237	0.358160825656326	0.0276859307385666	0	0.873582467726462	0.917545306354638	1.7855270876153
