Mixture	B	CD4Tconv	CD8T	DC	Endothelial	Epithelial	NK	Plasma	Malignant	Mono/Macro	P-value	Correlation	RMSE	Absolute score (sig.score)
value...35	0.0588403324825632	0.0882969726115572	0	0.165867470380745	0.163495549601849	0.0575773260105063	0.0287559166101729	0.00273599947947789	1.06137958961086	0.214501339277478	0	0.830307636445052	0.900859341707844	1.84145049606521
value...36	0.0893974868566197	0.0407737170736727	0.00182575794724849	0.0909881382826971	0.133928106403407	0	0.00122446647863918	0.000841527394927059	1.3875248752199	0.0586737720176303	0	0.808036536146569	0.888783511783013	1.80517784767474
value...37	0.0686565704062859	0.051668525517418	0	0.146963232482672	0.115819595743735	0.112104436867359	0.0467352357575671	0.00237733766538796	1.18349071603118	0.121095858375734	0	0.830791730953963	0.896226939316016	1.84891150884734
value...38	0.0552485743457631	0.0495996403659773	0	0.0708291187583475	0.153854541896683	0.00406523039495599	0.041272694127516	0.0011941637467129	1.40315269412037	0.0308516172548591	0	0.811123564228824	0.887746632581396	1.81006827501118
value...39	0.0626844939828238	0.0525593653871525	0	0.0802305579796321	0.157889683768619	0.0147052463967329	0.040032359893788	0.00103154305318146	1.36409906938297	0.0422748742955173	0	0.811677205428923	0.889975017616822	1.81550719414041
value...40	0.0655250340426785	0.0828009004545769	0	0.137847253937229	0.268855178309595	0.0702917523366692	0.0467289778869325	0.00292053935369678	1.10658260354316	0.0671615293040084	0	0.81620739619106	0.902461489882057	1.84871376916855
value...41	0.130510937588406	0.18696535063684	0.0105557078804661	0.30162544886213	0.229341648484292	0.27851862415935	0	0.00464391622936112	0.536016187616861	0.187241339239797	0	0.882017340356469	0.910991881247098	1.8654191606975
value...42	0.176229714971625	0.080851122012239	0.0389421997112974	0.226656252294165	0.255021299413447	0.000358059014407162	0.149936734682003	0.00497530852842011	0.65859835361553	0.21471570492051	0	0.849962213123386	0.911236947702103	1.80628474916364
value...43	0.0995040790696812	0.0455459744140571	0	0.462746208673994	0.130750550064133	0.330128078265601	0.0791648376946734	0.00468214519039407	0.376302642820904	0.381808878880214	0	0.892774665000766	0.898959939848359	1.91063339507365
value...44	0.0874580246616488	0.056054726577287	0	0.124241486532638	0.0904394925954885	0.0592698827101871	0.0414747955393242	0.000504589155186936	1.31761107275729	0.0485939267125619	0	0.814186240498069	0.892539373524354	1.82564799724161
