Mixture	B	Endothelial	Fibroblasts	Mono/Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	P-value	Correlation	RMSE	Absolute score (sig.score)
value...33	0.188294143263633	0.142088298485495	0.198639177929504	0.195814467112369	0	0.28003939812682	0.28154139014882	1.97837940529255	0	0.937310607099487	0.465310014431238	3.26479628035919
value...34	0.116862191306589	0.0261596835342015	0.167000698042531	0.127902400510801	0.0400975777762887	0.189840794265676	0.231780368568937	2.3094057054526	0	0.945780346530206	0.405122921284911	3.20904941945762
value...35	0.114729836719164	0.162985089389009	0.096948232457181	0.2091443716156	0.0621226132590803	0.584466483485545	0.40612845686468	1.46115054492914	0	0.931169545427176	0.52090819297038	3.0976756287194
value...36	0.496874375296861	0.0716801832585863	0.122356378928972	0.421739084307216	0	0.393456260607469	0.136592184085982	1.49750876962869	0	0.923075891280523	0.528962462002837	3.14020723611378
value...37	0.0111686353710765	0	0.0083052730616973	0	0.0470374459493823	0.00129167112965817	0	2.98725713554593	0	0.944753381454447	0.331357070397247	3.05506016105775
value...38	0.0522019486760182	0.147572355795124	0.256915806706131	0.472560234740484	0	0.438830909671779	0.113536914962089	1.95399321234452	0	0.920484638040169	0.491895101071614	3.43561138289614
value...39	0.157204258012044	0.0497913519651589	0.232002826630521	0.359833001811647	0.107363987335482	0.612275329845052	0.326434265375966	1.38661837059343	0	0.925173443971827	0.534919848037188	3.2315233915693
value...40	0.368948686288423	0.286103380398607	0.213841712896603	0.209182287859106	0.0340865767925403	0.381126166253813	0.380721434751464	1.32162666497059	0	0.916956056336598	0.556463138655059	3.19563691021115
value...41	0.387834194308949	0.456784173812405	0.196214907754474	0.666701622083848	0.0737605232571695	0.433569026305982	0.140901688053933	0.8893366259193	0	0.878923615379879	0.6088649073682	3.24510276149606
value...42	0.245479225409418	0.0444740913754082	0.144943166995223	0.0309459935909971	0.0293449420892222	0.0861432814460341	0.183329619917953	2.34914397377594	0	0.936575354425719	0.410126658334478	3.1138042946002
value...43	0.378235936455738	0.178504870360685	0.142036249594556	0.35409121434886	0.0655981069046913	0.227907343941911	0.275217518770142	1.56615366876829	0	0.912910974832387	0.538427493996229	3.18774490914488
value...44	0.324794109304244	0.16049116480681	0.17288414759539	0.163976567415951	0.0457642647807631	0.217456554248835	0.348668907812095	1.78950434401963	0	0.919470203715848	0.510240275792664	3.22354005998372
value...45	0.0735861273606583	0.435855992710708	0.194596983811338	0.615957173072723	0.105275168004366	0.566205031293645	0.295242451372675	1.01419657442784	0	0.917423670293168	0.568755727695634	3.30091550205396
value...46	0.407503434801765	0.197956977691059	0.238931936572674	0.1990487890528	0.0861137427629109	0.522171431627292	0.270917387693333	1.27598137702554	0	0.918066553291645	0.560812300484868	3.19862507722738
value...47	0.628147311381572	0.852712948461133	0.316725687618441	0.544318149799172	0.102228419113589	0.467685234683646	0.415220662244225	0	0	0.887135532353245	0.58094608834599	3.32703841330178
value...48	0.230006448510479	0.0920734456752768	0.108217675902418	0.387585941940809	0.0146083409073124	0.230696107744119	0.0812850232099458	2.01350878822916	0	0.938741114210656	0.449309055627073	3.15798177211952
value...49	0.0580016537768491	0.131352365330785	0.202558221171567	0.395139297351769	0.0699796331921044	0.368010365140984	0.377321296441143	1.76686485480539	0	0.939169000158188	0.487855065151527	3.36922768721059
value...50	0.0130144654902378	0.00302831699106372	0.0472010065352748	0.0513426791629525	0.0377538098965214	0.0784968847214906	0	2.93237935458802	0	0.946701519120662	0.333786392779963	3.16321651738556
value...51	0.340639042462799	0.27282046582491	0.358121112829836	0.177068572652419	0.173375991637054	0.742886050584642	1.11142820872608	0.0246119723660231	0	0.914070915496145	0.490049364478831	3.20095141708377
value...52	0.102827271429037	0.195897146530935	0.679695266824631	0.87148344730181	0.458270844662857	0.311197417931587	0.323650060425472	0.202446421353174	0	0.417741260269564	0.924509958341094	3.1454678764595
value...53	0.302822542993493	0.495196113635012	0.403515500127213	0.637548363440425	0.126458894945369	0.974715807491455	0.304953908671074	0	0	0.860376820264527	0.597379749134972	3.24521113130404
value...54	0.108435043871039	0.355820616365969	0.258348548902201	0.813505387954499	0.22450163508951	0.895277267081302	0.563685925010146	0.0122231501806949	0	0.797294453729268	0.64158269163891	3.23179757445536
value...55	0.189681832584235	0.746146340847521	0.269240287552128	0.120883289645376	0.56779513506656	0.657654678661408	0.294064604695902	0.206844076248427	0	0.41784010928486	0.911880420884041	3.05231024530156
value...56	0.702613224636533	0.250541200715931	0.0802648622322003	0.184534364008972	0.215958180978314	0.936303627906409	0.61226868700748	0.026205388908144	0	0.866546045697115	0.56207412452187	3.00868953639398
value...57	0.321138664248552	0.726448768691419	0.126238463653527	0.39345190376516	0.150634331804884	0.854792545565783	0.587812284317024	0	0	0.848999486635983	0.606846992369297	3.16051696204635
value...58	0.740900690108006	0.303625119204408	0.421133547533641	0.261109579795447	0.226698161853	0.548931353154526	0.57868591464153	0.0530177212592767	0	0.796725143899107	0.647211087693398	3.13410208754984
value...59	0.113791736891334	0.825802641608811	0.0735105869936949	0.213373512910518	0.357044107075776	0.849240123052548	0.605399986618444	0.0579598694012939	0	0.68139551085667	0.7440075669913	3.09612256455242
value...60	0.643067282358251	0.772012288557526	0.0358103616173456	0.162807325954961	0.256603551683947	0.508125555398908	0.601857042238554	0.0393186890452651	0	0.702948977903896	0.728395637389473	3.01960209685476
value...61	0	0.592093661879739	0.154774438206105	0.452254964568662	0.780810942268696	0.692081233442297	0	0.369483243019607	0	0.262528338130374	0.985018677365167	3.04149848338511
value...62	0.530475124212248	0.127889505534949	0.265387386505006	0.442307514070795	0.478355951495496	0.460683904328059	0.559230791783824	0.191877802413915	0	0.594968116190311	0.8047619645883	3.05620798034429
value...63	0	0.335909478889607	0.38905835899809	0.565055384098366	0.745013986654205	0.680566395904087	0	0.363264009469718	0	0.307268482238519	0.968950842694808	3.07886761401407
value...64	0.289680418242035	0.785570511885552	0.124992620011272	0.325079560086876	0.14892929819541	0.685645456597642	0.818764505874068	0.00473686950510584	0	0.928811285453323	0.516611650034323	3.18339924039796
value...65	0.544285166885244	0.354716656085511	0.657885992012769	0.243930363220865	0.307652939281789	0.414148212837937	0.575852635214051	0.0706119903812757	0	0.619605788751731	0.785933016880701	3.16908395591944
value...66	0.441506225648886	0.803152757236094	0.409429487410082	0.36024491811995	0.231215549730926	0.834177215332446	0.104459521422376	0.0188317308412025	0	0.833937089328659	0.633270633688328	3.20301740574196
value...67	0.130666913930344	0.764101623442299	0.386626922826402	0.226045389746694	0.179841336973468	0.775599120233439	0.722361752959779	0.0306475092368283	0	0.84381636783073	0.603255527155994	3.21589056934925
value...68	0.251074959943602	0.508926416597242	0.000779358042820219	0.438504734526394	0.108756276766939	1.16033821853807	0.623777073337081	0	0	0.911836145396585	0.520145156119669	3.09215703775215
