Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
value...11	0	0.235589366237457	0.017190839585387	0.275023161754845	0	0.239082128198983	0.020996123907231	0	0.00519928982984634	0	0.190163103441189	0	0.0595533017717061	0	0.018737035154337	0.0304746959327009	0	0.143025347565371	0	0.0844446571890181	0.16550560488197	0	0	0.481058202761005	0.875083600689916	1.48498465545004
value...12	0	0.224672053975706	0	0.149724003779205	0	0.184943797111104	0	0	0	0	0.184139984770394	0	0.0958503693178644	0	0.00147323500223958	0.0350126220428858	0	0.124874596637726	0	0.124819185893127	0.183893881853931	0	0	0.375048693694426	0.928058520203321	1.30940373038418
value...13	0	0.127351833122561	0	0.198311101944022	0	0.116664355870748	0.0399580995481483	0.0223026061810852	0	0	0.171654464654198	0	0.0829910772191014	0	0	0.0400178076500452	0	0.166914598696735	0	0.111666638637868	0.154790221028544	0	0	0.282646923161876	0.972231992041762	1.23262280455305
value...14	0	0.0767791403824648	0	0.162303320652443	0	0.283258705044502	0.0132179495035733	0	0	0	0.233667245042097	0	0.0827512338146615	0	0	0.0285621033022455	0.00701906051716851	0.170236818666683	0	0.133264113096307	0.189458811827633	0	0	0.376581948497038	0.930779605003502	1.38051850184978
value...15	0	0.170587249499021	0	0.440781460599115	0	0.0374134230013142	0.066518572409391	0	0	0	0.405058325944386	0	0.0944359441791337	0	0	0.0667157925331603	0	0.189182165952651	0	0.172286374893379	0.269268316144854	0	0	0.557080793550828	0.830305912449238	1.9122476251564
value...16	0	0.123991183928995	0.00972546594645744	0.160042496066531	0	0.076517371698904	0	0	0.0217759626341247	0	0.295123729548429	0	0.0894703880196681	0	0	0.0361521749518831	0	0.104679107908654	0	0.169669213585309	0.114407149045692	0	0	0.388774645345041	0.928234592817177	1.20155424333465
value...17	0.0349889694073171	0.302510804114691	0	0.552095195255869	0	0.124249731184902	0.0766725216910047	0	0	0	0.454844567959106	0	0.12792239140393	0	0	0.0794136229853921	0.0034573958138841	0.307657154132679	0	0.191395570208298	0.236430260745533	0	0	0.616137092741412	0.795587059941739	2.49163818490261
value...18	0	0.168858781849386	0	0.193446399034585	0	0.259427738146367	0	0	0	0	0.395625342875603	0	0.111694360188079	0	0	0.122222623189779	0	0.202661087741736	0	0.231117130445881	0.156821486724224	0	0	0.55563080218557	0.832943039245885	1.84187495019564
value...19	0	0.286174718801326	0	0.186792277798505	0	0.140923739729035	0	0	0	0	0.35214035544553	0	0.119467438662713	0	0	0.0385507617167142	0	0.210520883039681	0	0.150381190691659	0.143910846895765	0	0	0.49735746945922	0.866099087404417	1.62886221278093
value...20	0	0.198744214681122	0	0.0873487094167661	0	0.0685532605998701	0	0.0360176836438326	0	0	0.0761804448677987	0	0.106040025478388	0	0	0.0768654679738308	0	0.190781161162136	0	0.106614990801892	0.181687423746749	0	0	0.288866674748182	0.961758772142124	1.12883338237239
value...21	0	0.194013017097271	0.00700014597136886	0.0511319693929171	0	0.221454245392972	0.029269877452072	0	0	0	0.163533808033377	0	0.0470278031835395	0	0	0.0804010553052633	0.0142514098454586	0.219732404362277	0	0.1353517012202	0.172525309597452	0	0	0.379009669749646	0.924196418672397	1.33569274685417
value...22	0.0134423023289445	0.181094997002683	0	0.399994142331198	0	0.172423308456048	0.0123989943520682	0	0	0	0.250544110092594	0	0.146688845851959	0	0	0.125792687840997	0.0405737755705609	0.262310827258964	0	0.173322442879477	0.246712061173175	0	0	0.520255168018946	0.855944150891901	2.02529849513867
value...23	0	0.15286379276345	0	0.0765084877044159	0	0.201091672401234	0	0	0	0	0.159116908184407	0	0.0415528807159104	0	0	0.00504056128063157	0	0.0918033931084324	0	0.0956935632878529	0.115396624401224	0	0	0.182852342115295	1.02470979285885	0.939067883847558
value...24	0	0.177275355339616	0	0.171846583735949	0	0.0777744187931118	0	0.0392485305447995	0	0	0.0337639020439024	4.71010100396736e-05	0.0870420050300878	0	0	0.09610846088905	0	0.148716763587521	0	0.107274343551989	0.12966194981444	0	0	0.191480431819368	1.00280658088523	1.06875941434051
value...25	0	0.100773889064537	0.0617674243334876	0.131281052416782	0	0.111863978405183	0.0234012785771361	0	0	0	0.0915853479281468	0	0.0355093888802268	0	0	0.000344421556111318	0	0.112567374655146	0	0.0837744180224949	0.100506769551492	0	0	0.11109310898472	1.04819002796687	0.853375343390744
value...26	0	0.314520155978918	0	0.417764901433945	0	0.0474191724218477	0	0.0168377715301729	0	0	0.113202058136041	0.0120732109013872	0.0682801927369291	0	0	0.05722784076729	0	0.17846672373892	0	0.0981092806236346	0.219277999101109	0	0	0.525665471003973	0.851218928994397	1.54317930737019
