Mixture	B	CD4Tconv	CD8T	DC	Endothelial	Epithelial	NK	Plasma	Malignant	Mono/Macro	P-value	Correlation	RMSE	Absolute score (sig.score)
value...35	0.157206920699511	0.169520522484658	0.0510793784383275	0.230137213262922	0.167264057820071	0.0013128841128867	0.0719851334819581	0.00111167683800055	0.854962697936499	0.0668966315630963	0	0.84320006581283	0.910013940812367	1.77147711663793
value...36	0.180345831221451	0.0810066698277088	0.0216133967136414	0.0642737286060444	0.1796474360607	0.22254322918792	0.154271903632702	0	0.845033900548984	0.0883397729025162	0	0.838681251736754	0.910640796374955	1.83707586870167
value...37	0.0247793856411107	0	0	0.0142979645023762	0.0792684863620947	0	0	0.000201355780643788	1.6745904053317	0	0	0.801194656965602	0.871893804555917	1.79313759761792
value...38	0.0641263926099715	0.083673979903603	0.0428860896896838	0.132782218580641	0.324127832507662	0	0.20009235856958	0.000794194437752399	0.886337233336615	0.0567368459675677	0	0.83511398829637	0.908181714736595	1.79155714560308
value...39	0.0730429035585431	0.141549320856955	0.0332933290436626	0.29794405150098	0.284396663958206	0.0223457467799108	0.132852509056827	0.000167093823338729	0.763639939971253	0.0460515833842485	0	0.847054769790661	0.911689565745222	1.79528314193392
value...40	0.162200081809145	0.161970647274403	0.0572941244046124	0.0938714950822253	0.266608382232151	0.140955165174642	0.0679778077270746	0.00307019984194885	0.772306071980842	0.0811004945296125	0	0.830391629049723	0.915338276193269	1.80735447005666
value...41	0.29087975729603	0.14291934391791	0.0472633779615446	0.164259199793902	0.236615679324948	0.145405909472719	0.221046149084456	0.00484903543962911	0.494472223321964	0.031168268640796	0	0.86768200341455	0.91596095126948	1.7788789442539
value...42	0.052721271554363	0.0342810448885494	0	0.0611182200609647	0.17004580936176	0.117962540125879	0.00206386509354704	0.000788015468026042	1.36377753154878	0.00869135826890376	0	0.80199233713729	0.888574337563312	1.81144965637077
value...43	0.169820481783622	0.168135696565516	0	0.133977486568137	0.158978231861846	0.18633828997704	0.078421386914773	0.00207704505697235	0.887272395051448	0.0271629937692539	0	0.830436219113688	0.91057185581881	1.81218400754861
value...44	0.112937199882632	0.0923441232168718	0	0.15342587902481	0.213247727687742	0.067272991522099	0.0332453691458608	0.000756904626139715	1.04486991841275	0.0842716213177363	0	0.81771593757789	0.904633938925242	1.80237173483664
