Mixture	B	CD8Teff	pDC	Endothelial	Epithelial	M2	Monocyte	M1	NK	Plasma	Malignant	Th2	P-value	Correlation	RMSE	Absolute score (sig.score)
value...39	0.0670136845898817	0	0.0614614690214572	0.145229028759005	0.0190166351990667	0.0067059734839746	0	0.0647056641989795	0.0345940186808772	0.00121082634604399	1.35838883394842	0.0484094996531799	0	0.837790778645326	0.874336979804541	1.80673563388088
value...40	0.0823211663831658	0	0.142709398504795	0.239044196396877	0.0712228365907438	0.062438444966522	0	0.0225966780750964	0.0457917864525117	0.00292496401528737	1.09522002121848	0.07046347042133	0	0.840981350028905	0.887731506894599	1.83473296302481
value...41	0.133134000654318	0	0.297861200026131	0.230794927452069	0.246016804463022	0.0364012880044688	0.0302446995013482	0.114950363021935	0	0.00516114988313976	0.578112045533542	0.164922333686776	0	0.887314580704189	0.898247820160895	1.83759881222675
value...42	0.143366033629747	0	0.191421783908743	0.267869868559637	0	0.0452552518009356	0	0.241272841227589	0.145273096623856	0.00561758469196697	0.66172440861744	0.0783225563421298	0	0.863596597036216	0.897259456312868	1.78012342540204
value...43	0.0681947652531422	0	0.418624379205914	0.12260726098455	0.328682237887614	0.142017807087184	0	0.303200904569686	0.056604182801297	0.00502171366375016	0.387346022759121	0.0423053900517781	0	0.901340016471144	0.885598363912801	1.87460466426404
value...44	0.0895401846998505	0	0.1240824863441	0.101377032796701	0.0446063875736546	0	0	0.0666406103990151	0.0304942859274552	0.000737878148811908	1.31481782678846	0.0456623230306142	0	0.84297446528998	0.876922910972778	1.81795901570867
value...45	0.246863817663143	0.0823217053471124	0.361206328799975	0.26406984503043	0	0.13843060258332	0	0.137604576984796	0.172805648076163	0.00774359279538843	0.124752743038088	0.200537329320049	0	0.900796539952014	0.884019974705556	1.73633618963846
value...46	0.0643915480677475	0.00258377637894613	0.0502576619707789	0.14574508340154	0.0569266814622733	0.0359013444500773	0	0.0747758916764378	0.0287455024133868	0.00137533199526361	1.31505700931725	0.0526297240463835	0	0.852257310724146	0.874588158089056	1.82838955518008
value...47	0.199105284820763	0	0.285648285049743	0.0934298715705284	0.190612030425388	0.0802105396315075	0	0.053171908795653	0.0856431679306338	0.00404271256399793	0.707472074449082	0.128251179721663	0	0.865560507016429	0.900533117314936	1.82758705495896
value...48	0.0841340781555716	0	0.248661405053049	0.153458003446634	0.0896361467275563	0	0.0193572280486013	0.277584706890593	0.165491560879976	0.000833621394302837	0.659770537517114	0.1111707972628	0	0.888157472958203	0.894466223095427	1.8100980853762
value...49	0.157767701235726	0.0210389954000802	0.162310452642428	0.287601296123301	0.0236490491447789	0.0954787313251647	0	0.0750335394682856	0.0258809916107722	0.00463154179686229	0.870115172124623	0.0608222219973078	0	0.850240071774301	0.894608119258067	1.78432969286933
value...50	0.0728381200539594	0	0.163037638677982	0.119576446431651	0.274926781780039	0.1614867653107	0	0.311005363066428	0.0783855098720793	0.00622985074605829	0.625481830312955	0.0602383854475646	0	0.876679494888445	0.892281595994734	1.87320669169942
value...51	0.266420846530968	0	0.361353535039105	0.23970952315881	0.340192535011901	0.0550965303120435	0	0.0983871502738896	0.205296073954958	0.00697739272877307	0.171698802879048	0.0919787199859556	0	0.891872576116417	0.899297823749885	1.83711110987545
value...52	0.165093248119289	0.0633220095209592	0.191944247835052	0.072418949132032	0.228161045096787	0.0188256078370676	0	0.203944814416113	0.0854345398323187	0.00155567561644579	0.705113610027645	0.0952102084228058	0	0.872577169527906	0.899836527091472	1.83102395585651
value...53	0.0696707243672508	0	0.210907148683303	0.249133602834607	0.114850941085451	0.0762872140901429	0	0.180443117305286	0.0687336217157059	0.00222752645366131	0.827042438549224	0.0395397563269289	0	0.871910029199677	0.892123040417368	1.83883609141156
value...54	0.0579445955987517	0.00923926734014861	0.149915879877157	0.108092167954203	0.0890903441925875	0.0234272991280941	0	0.0662693983294606	0.0499433860410109	0.00148244152507333	1.18629533261979	0.0824274059826922	0	0.854344140060285	0.882119047183138	1.82412751858897
value...55	0.0728767714925628	0.0179326522886966	0.159413371431769	0.290883259135953	0.0979178205523782	0.0500562867375774	0	0.236714312294093	0.114988042822889	0.00165018809908306	0.663556250764547	0.108015319086625	0	0.875117087790484	0.897685323905702	1.81400427470617
value...56	0.149466895581555	0.0054517392817986	0.321979093288711	0.245282696952784	0.196587287596926	0.0929997771379761	0	0.128748385540933	0.0264061193799684	0.00710756967635454	0.644264996843412	0.0220637005212852	0	0.873282429116059	0.895855931251904	1.8403582618017
value...57	0.265578896521063	0	0.165857575129275	0.143369258501547	0.141839417883995	0.250734240823989	0	0.194402174397135	0.196768277353858	0.00410349772502204	0.206201423032516	0.227480598321611	0	0.902231277118266	0.889714357973844	1.79633535969001
value...58	0.0513800909149509	0.00562094021502366	0.0542719709221893	0.124666249019242	0.0274441449782	0	0	0.0569866694302884	0	0.000259826473400663	1.51460473960037	0	0	0.845720419683733	0.863287488650727	1.83523463155366
value...59	0.0677888878050713	0.0613581456417345	0.164043736226894	0.07289135321044	0.163402343967514	0.0156171250578355	0.0193493756523028	0.0638346232043381	0.0247150589462093	0.00114711635887435	1.00629788824201	0.182596244485725	0	0.859674082195577	0.891500226798836	1.84304189879895
value...60	0.0992202310846227	0.0184126403687637	0.151774230317894	0.106448786198769	0.00823802212711415	0	0	0.146370148746016	0.0672422675581704	0.00310821773212745	1.12018542617556	0.0624505544017713	0	0.848242753851882	0.88640163766382	1.78345052471081
value...61	0.131514110880929	0	0.163232083617102	0.201058570167521	0.134079021656146	0.0527096589435282	0	0.175592642134343	0.0278490893041332	0.00180211857635762	0.861855402685778	0.0658433445170015	0	0.868334913791976	0.89332059868941	1.81553604248284
value...62	0.112170921581471	0.0227248052924493	0.185414447463907	0.155038540446399	0.168630004285819	0.0155863575784649	0	0.123678422341731	0.00602138228786016	0.000725920121792538	1.00063363047796	0.0452314637964887	0	0.866152917579653	0.888304221827488	1.83585589567434
value...63	0.131648363635969	0.0588386773680633	0.201388936362362	0.197679258340304	0.0104824587242055	0.0646461861727637	0	0.0372054248312446	0.0640639364124539	0.00407119062217053	0.892170357805959	0.118652363352285	0	0.836547210087865	0.898348009580746	1.78084715362778
value...64	0.198972411092838	0	0.0965325293704758	0.432085273016416	0.101462737302528	0.113501981718308	0	0.126688751409628	0.00335053388845457	0.00544237910105492	0.662332723119977	0.0700196650783988	0	0.865403429343751	0.896862241782836	1.81038898509808
value...65	0.0929841926871126	0.00343318489691175	0.0532500559121645	0.0910284587543922	0	0.0143906952378565	0	0.053540337341278	0.0170149573363097	0.000450934971042263	1.44576053670114	0.0297531060008183	0	0.826099668627678	0.871574352217711	1.80160645983903
value...66	0.117548841326191	0.00869027396820987	0.226276458473642	0.175006462141627	0.134207892277598	0.141494506503651	0	0.107940888456092	0.074412012821121	0.00425686438209345	0.793065087426222	0.0586936340312527	0	0.853594004272647	0.896505644620247	1.8415929218077
value...67	0.17098249263134	0.135855442766432	0.461514556092631	0.0688361095779841	0	0.298344012804363	0	0.262394080277976	0.0898119692856138	0.00217480514093475	0.0930690600352328	0.16882341529563	0	0.914093189946823	0.861489289636524	1.75180594390814
value...68	0.0972643005964611	0.0276177255323722	0.137716925608826	0.16782895071831	0.0636600006120777	0.08780936271476	0	0.100946975972632	0.0211558291563527	0.000959215308382345	1.0749463318142	0.0374151911416555	0	0.856962438543557	0.885866485072205	1.81732080917603
